ID,Review Date,Location,Hotel/Restaurant name,Review
rn567346479,"Reviewed March 18, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"My family and I have visited Chalong Bay a few times and every time, we look forward to returning to this restaurant. It’s true, it is off the beaten track but that’s part of the beauty. You feel like you’ve discovered a gem.
The gardens...More"
rn567135800,"Reviewed March 17, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"Facing the beautiful Chalong Bay, The Phuket Yacht Club is a waterfront restaurant you would like to keep just for yourself!
You can go there for breakfast, lunch and dinner with excellent international and Thai cuisine, that's what I've done many times as it is...More"
rn567134755,"Reviewed March 17, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"At the very end of an unassuming street lies something quite unique in Phuket. It's not a fancy yacht club and not a fancy restaurant but it has a terrific view, a super friendly vibe and some sensational food.
If you are brave enough to...More"
rn566954052,"Reviewed March 16, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,I have been visiting this amazing place for many times and still going. Everything is beyond expectation apart from stunning sea view and lovely and helpful staff. The food is amazing especially Caesar Salad ( my all time favourite dish ) that I will order...More
rn565711201,"Reviewed March 10, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,This place wasn’t easy to find but it was worth the detour. Right next to the water so a really nice place to go for a drink or dinner. Staff were helpful as well so we did very much enjoyed the experience here. Would recommend.
rn560303766,"Reviewed February 13, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"My partner and I were in Phuket for 2 weeks and we spent almost every evening here for dinner. The restaurant has beautiful gardens surrounding it, which makes the environment feel tranquil. The food is top notch and the staff members are very welcoming."
rn558927340,"Reviewed February 6, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"At the Yacht Club breakfast, lunch or dinner is an very enjoyable experience.
Perhaps you've not had the pleasure of enjoying the absolute waterfront view of picturesque Chalong Bay, the moored boats, and the offshore islands? Or the incredibly friendly service and the local and...More"
rn554334133,"Reviewed January 16, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,I visit this restaurant every time I travel to Phuket. Can always rely on an amazing atmosphere and even better food. One of my favourite places to come. Friendly staff and a great vibe. Highly recommend
rn550805054,"Reviewed January 1, 2018 ", Patong,Ao Chalong Yacht Club Restaurant,"this restaurant was beside our hotel, so we had to try it one evening. We had been recomended the restaurant from the hotel"
rn550555457,"Reviewed December 31, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Been coming for years and the folks at ACYC have never let us down. Their prices are entirely reasonable and the food is delicious--particularly the daily specials, tom yam goong and Sunday roast. The staff is welcoming and the general manager always makes us feel...More"
rn542610194,"Reviewed November 22, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Had a lunch and dinner here, both were excellent meals. Service was friendly and prompt. Great views, what’s not to like!"
rn542179627,"Reviewed November 20, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,I would recommend this to everyone! It’s brilliant! The food tasted great. The service was great. We had traditional Thai food and it was some of the best we ate while on our trip. If your local. Visit this place.
rn540085381,"Reviewed November 10, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"I came for a first time to eat here with friend and keep coming back Food is great and services are excellent. Beautiful view over the bay.. one of Hidden gems spot of Chalong Bay , You should not missed..Must visit.."
rn534669483,"Reviewed October 20, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"I have visited this restaurant many times over the years and it never disappoints. The location is beautiful, on the seafront with no sound of traffic! The food is beautiful as are the wines. Well worth a visit if you want to get away for...More"
rn532024809,"Reviewed October 11, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"When visiting Phuket Thailand Ao Chalong Yacht Club Restaurant is a must, it has atmosphere, fresh seafood that you can pick from live tanks, great wine cellar and oysters to die for....can't wait to go back and hopefully be able to sit outside on large...More"
rn521610639,"Reviewed September 5, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"A wonderful location on the ocean at Chalong.
The roast dinner is like Mom makes it and includes Yorkshire pudding, roast Lam's, roast potatoes and sweet potatoes.
Mint jelly and gravy. Yes and some vegetables. :)
The Mango Crumble and ice cream with real cream...More"
rn515562580,"Reviewed August 20, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Very good food with a beautiful view over Chalong bay.
Good taste, friendly service and big portions! Kids loved it too.
We will be back!"
rn513639609,"Reviewed August 16, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"The place is very nice with a beutiful view.
Service kind and attentive.
The menu, for the thai side, is not so extensive.
Good cocktails, good paneang, green curry so and so.
Prices a bit more than the average, but well justified by the location."
rn506972587,"Reviewed July 30, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"This restaurant is consistently excellent, I have eaten here a number of times and it tics all the right boxes.
The food is always good, the service is always friendly and efficient, plus the view is outstanding. A perfect location right on Chalong bay."
rn503011045,"Reviewed July 17, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"This is one of those places that is just perfect IMHO.
Breakfast is really good . Coffee machine does its job and the view ambience is also fantastic.
Lovely people , great vibe and a really superb restaurant. We came for a regatta and it...More"
rn492372809,"Reviewed June 12, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Food is lovely and big portions and also cheap! Nice clean place with great views. All staff were friendly and happy to help. We stayed in aochalong Villa and were not aware of this place until we were told about it by Steve, we found...More"
rn490269022,"Reviewed June 4, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,Had Sunday roast lamb here with a couple of fab strawberry shakes. Saw other food there and looked fab also. Friendly staff and beautiful view of Chalong bay. A bit off the beaten track but just look out for the sign on right about 1km...More
rn485509343,"Reviewed May 18, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Great food and ambience , friendly staff. Run by experienced Australian Chef. Wide choice of dishes. Good view to sea, yachtsMore"
rn481810692,"Reviewed May 5, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Stumbled across this place by accident, best food I have tasted my whole trip! Spoke to the chef and he customised a meal especially for me. Will definitely be back. 10/10 recommend."
rn480113493,"Reviewed April 29, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"the service was ok, view and ambience was fantastic, we had a great time at the Yacht club restaurant during our family visit"
rn475985274,"Reviewed April 15, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,Fantastic food this place never disappoints ! The food is some of the best food I've eaten around the world . The staff and management are friendly and very efficient . Fantastic guys see you soon <f0><U+009F><U+0098><U+0080><f0><U+009F><U+0098><U+0080><f0><U+009F><U+0098><U+0080>More
rn468797111,"Reviewed March 20, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Thanks to all the brilliant staff.
You made us very welcome.
A great place for a couple of sundowners."
rn468450926,"Reviewed March 19, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"A beautiful relaxing place, very well run and welcoming. The food is really very good and the musician playing was very well chosen making a leisurely Sunday brunch with my father even more enjoyable. Everything 5* and I would happily eat here every day.
Thank...More"
rn460335673,"Reviewed February 16, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,Been here several times with friends and family ..... such a great local place with stunning views of Chalong bay and all of the yachts moored in the distance .... popping down at sunset for a cool beer is rewarding !! Food here is as...More
rn459054598,"Reviewed February 12, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,We were also recommended to come here - it was actually Steve at AoChalong Villas and Spa. We had the Thai food - I had a red Thai curry which was absolutely delicious . I lurrrved it. And my hubby had the pork ribs to...More
rn458036931,"Reviewed February 8, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"We visited here 3 times on our holiday, the food was ok until our 3rd visit, I decided to have the hand cut chunky chips with guacamole & salsa as I hadn't eaten all day & wanted something a little different from the Thai food,...More"
rn455784693,"Reviewed January 29, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,"Consistently great food, welcoming staff and owner and such a beautiful view. It really helps melt the stress away. The Sunday roast is great, the ploughman's is great, Dad had snapper which he really enjoyed.More"
rn454300278,"Reviewed January 23, 2017 ", Patong,Ao Chalong Yacht Club Restaurant,Excellent food and drink with a superb view. Very good value for money. Relaxed atmosphere with nice music. Would definitely recommend and would visit again!
rn447315294,"Reviewed December 28, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,We had a dinner at yacht club on a recommendation from one of the staff at our resort near by. Not disapionted at all. The view was stunning the food was of good quality and the service was top rate. Highly recommend .
rn446908412,"Reviewed December 27, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"We really enjoin the food and the atmosphere at the restaurant. The food was very good and the staff was friendly. We ate everything from fried squid, pizza and the very spicy Tom yum chicken soup. The soup was so hot that my husband had...More"
rn446404626,"Reviewed December 24, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"We found this place by recommendation on Trip Advisor and it did not disappoint! Not far from Chalong Pier you'll find this lovely bar/restaurant run by Kim and his wife. We came over for afternoon cocktails and managed to stay most of the day. Diem,...More"
rn439155138,"Reviewed November 21, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Well worth the visit, really nice restaurant overlooking the harbor..the service is above and beyond, the food only one word for it phenomenal I would highly recommend this place to anyone. Compliments to the chef! The crispy pork with greens and rice was out of...More"
rn439153567,"Reviewed November 21, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"My fiancée and I went there on our last night in Phuket. It was a very good recommendation from our hotel as we loved it! Food is outstanding, staff lovely and the owner a true gem. Definitely worth a visit!"
rn438650717,"Reviewed November 19, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,Great food and wonderful location. A must place to eat if in Rawai. The GOMS FUNDRAISING Event was an outstanding success and it was enjoyed by everyone.
rn437312572,"Reviewed November 14, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"No kidding .. real, fresh cos lettuce, plump sweet prawns lightly seared, crispy bacon ,perfect dressing and the cabiatta beats a soggy oily crouton any day. !! It was so good we went back twice to try some other dishes..the chicken snitzel and the crispy...More"
rn436545355,"Reviewed November 12, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Absolute treasure tucked away. Huge range of food, wonderful service, very reasonable prices, lots of space, accessible but away from busy roads, lovely seating and incredible view right on the bay. Ticks every box imaginable and you would be foolish to visit the area and...More"
rn436070727,"Reviewed November 10, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Do not miss out on this amazing place. Perfect View of the Islands and a stones throw from the Aochalong Pier, A++ food and fantastic company. The couple who own and run it are absolutely great hosts, not to mention the lovely and hilarious staff!...More"
rn435510453,"Reviewed November 7, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Not only the Thai or Asian food is delicious, but else the foor for ""farang"". I tasted the Chicken Escalope and I never had such a good one: inside tender and juicy, outside crispy.
The place itself is very nice, as you look to the...More"
rn434432624,"Reviewed November 3, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"I have been a member of the Yacht club for many years, seeing the changes and improvements occur over a period of time. Since Kim has been involved we have seen a professionalism in both the restaurant and bar that we have never seen before....More"
rn430475361,"Reviewed October 21, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Last week I again had my favourite brunch of poached egg with spinach and mushroom and/or avocado on toast. Very tasty and they have great fruitshakes, fresh coconut and coffee too.
For dinner you can pick any of the classic western dishes: pasta, salad, fries,...More"
rn427770752,"Reviewed October 13, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Man. This place is great. The staff and service is prompt, warm, and efficient. The view is phenomenal with a relaxed atmosphere. I've been sampling through the menu over the past week and have yet to be disappointed! Quite the opposite, I've been thoroughly impressed...More"
rn418374230,"Reviewed September 14, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"We ate here everyday of our trip , the yacht club caters for whatever you feel like dabbling in . Thai cuisine or classic European food , the roast on Sunday is great both in size and in taste ! Would highly recommend paying these...More"
rn413731852,"Reviewed September 1, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,We were here staying next door and was recommended to us by one of the locals. OMG this food is seriously sensational!! We had breakfast here a couple of mornings and dinber twice also. I had the steakbone night and schnapper another. The prawns were...More
rn413731230,"Reviewed September 1, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"We went to ACYC a number of times over the course of a week in Phuket.
It was recommended to us by a Brit living in Phuket.
The food is simply amazing and the view out over the harbour is brilliant.
It's a little out...More"
rn408076978,"Reviewed August 20, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"This location has brightened my veiw of Phuket on my current visit.
It just feels right.
Unlike some of the other options."
rn406909647,"Reviewed August 18, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"The owner of the speed boat company we went to Phi Phi with recommended we check this place out for sundowners. Great spot, nice local atmosphere and tasty bites to eat with a stunning view over the bay."
rn406427946,"Reviewed August 16, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"I have lived in Phuket for over 12 years, I can promise that the steak at ACYC is the best I have ever had in Phuket, especially if you compare to the price. Great and friendly service, kind of the warmth that makes you feel...More"
rn401563471,"Reviewed August 4, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Great for sundowners, Sunday roast and fish and chips by the sea.
Staff are very friendly and owner very welcoming. You don't have to be a member to go to the restaurant, very chilled out laid back place, great for kids to run about on...More"
rn399542444,"Reviewed July 31, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"First we couldn't even handle how amazing their crispy pork was. Meat was really well cooked and crispy, sauce with carlic and oyster sauce was pure heaven and the size of the portion... well, we are big eaters and we barely emptied our plates.
Atmosphere...More"
rn399060242,"Reviewed July 29, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Phuket Yacht Club (as it is called now) is open to everyone who like beautiful views of boats and islands, right on the water, combined with good drinks and good food. A lovely relaxed atmosphere with truly friendly staff who are really welcoming and cheerful....More"
rn394915922,"Reviewed July 20, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,A superb setting with views over Chalong Bay. The menu is limited but good value and the Bangers and Mash I ordered was excellent. I saw what my friends ordered and so I will return to try more dishes from the menu.
rn391613365,"Reviewed July 11, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,A fantastic menu selection and great atmosphere sitting at the waters edge looking out on Ao Chalong bay. Friendly staff makes it a great place for a group or just go alone and chat to the local yachties. Cool music selection too.
rn390240708,"Reviewed July 7, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Went here for dinner, we arrived as they were packing up but the owner said it was no problem. Felt at ease within minutes , very friendly staff and a great menu. I ordered Thai food and it was great , I was surprised by...More"
rn389247510,"Reviewed July 4, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Had dinner here last night, it was great. Food was perfect, white snapper fillet with mash potato and veggies. Kim and his team were perfect hosts, good conversation, attention to detail. Great settinmg right on the beach, relaxing and quiet.
Highly recommend this place, will...More"
rn389069807,"Reviewed July 4, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Went with my family. Small restaurant, the turn from the main road can be easily missed - if you're following the in-vehicle GPS, drive a little slowly else you'll easily miss the turn.
Driving into the club, it looks a little underwhelming, but do not...More"
rn388959261,"Reviewed July 4, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Been to this restaurant twice now, both times while holidaying in Phuket. Great food, very friendly staff and owners..Great spot on waters edge..Try it, you will like it ! Craig and Nang.."
rn387720162,"Reviewed June 30, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Local yacht club bar and restaurant, friendly staff and a welcomig atmosphere, easy and relaxed. Prices are great and so is the food, I pop in here regularly with friends or alone and always someone to strike up a conversation with."
rn386823491,"Reviewed June 27, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Last night we had 8 friends from Bangkok and Australia and took them to the yacht club. Everyone liked the environment. Kym and his staff are efficient and professional and super friendly.
They have a great menu with selected Thai and international dishes including great...More"
rn383919101,"Reviewed June 19, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"This restaurant is surprisingly good. We were late as the driver can't find the place, but they waited for us and explained over the phone very great patience. The food is amazing. Seafood Green curry is awesome. Pizza is also impressive. I can't help to...More"
rn375050709,"Reviewed May 21, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"My husband & I had planned to go for a dinner here but as we were already driving around in the area & it was lunchtime we decided we would dine for lunch instead.
I had found this place by reviews on Trip Advisor which...More"
rn374008988,"Reviewed May 18, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Always like returning to the Yacht club,Kym and his wife are lovely people and so welcoming,I introduced my friends to the place this time and they had breakfast there almost everyday as we were staying at the Ao Chalong villa and spa which is just...More"
rn370108317,"Reviewed May 4, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Over the course of a month I virtually lived in this restaurant while I was helping out at the sailing school. The owners, Kim and Pia, made a real effort with every visitor so you feel welcome and comfortable from the moment you walk in...More"
rn368449062,"Reviewed April 28, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"This is our first time to this restaurant, I love the place since dinner at the beach are always beautiful.. Plus the staffs were all nice.. Me and my husband ordered this snapper with salad and avocado which is I think it's a bit expensive,...More"
rn367627100,"Reviewed April 25, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"As a destination expert for Thailand this is a gem of a place for breakfast , lunch , or evening meal or just a drink. Water front location friendly staff with a great ambiance. Kim and Pia will always take the time to welcome new...More"
rn367157299,"Reviewed April 25, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,Wow can't really explain how much of an awesome place to eat and drink is<f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D> the owner Kim and his wife are the nicest people you could meet!!! The food here is top top class anything from the menu you won't be disappointed also make...More
rn367053294,"Reviewed April 24, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"The yacht club has a very nice staff and owner. Food is always good and beer is cold! We enjoy taking the dingy, must watch out for tides though. Can be very shallow.More"
rn365049257,"Reviewed April 18, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Very funky cool restaurant and bar. Kim and the team knock up a great meal with an excellent blend if western or Thai. Quality all round here.
Add this place to your shopping list. It is what I deem to be ticketyboo.
Great value for...More"
rn365045193,"Reviewed April 18, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"What a great find this place is - Kim and his crew are beautiful people and the food was amazing - highly recommend!
The view is also a treat and a must for anyone looking for a relaxing afternoon or evening."
rn361456735,"Reviewed April 4, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Lovely food, excellent service, and great atmosphere (AMAZING VIEW). A bit off the beaten path, but this hidden gem is well worth finding. Would definitely recommend."
rn358348868,"Reviewed March 24, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Very friendly staff; quick service and food is fast. everything I had on the menu was fantastic, both western and thai! The yacht club itself has a great chill sailor atmosphere, everyone is so nice. definitely worth finding!"
rn357194274,"Reviewed March 20, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Homesick is the feeling I have during the period I'm not in Phuket and I can not drink my daily coffee at the bar of Kim and Pia and their most lovely staff, can not enjoy one of the tasty dishes of their menu...
Phuket...More"
rn353695965,"Reviewed March 7, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Phuket Yacht Club may be a bit off the beaten track, but the venue is well worth finding. My wife and I have been there many times over recent years and the experience only gets better. Kim, the restaurant owner, has done a fabulous job...More"
rn353245229,"Reviewed March 6, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,My friend and I have been traveling for two weeks in Thailand. Surrounded by couples and back packpers. Phuket yacht club was a very welcoming environment. We made friends with everyone. It became our 'Cheers' in Thailand. You must visit.
rn350768438,"Reviewed February 25, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Kim, owner and chef has created a great dining experience right on thne edge of Chalong Bay. Sunday lunch is popular….book ahead. Popular with those whao enjoy a classic Sunday roast. This is not for me but I had the best fish and Chips for...More"
rn349984071,"Reviewed February 22, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"A hidden gem. This restaurant serves a fantastic full English breakfast with real pork sausages and streaky bacon, beans, fried tomato, egg, hash brown, Tea and toast. The Thai food is also very good."
rn348089619,"Reviewed February 15, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"PYC offers a beautiful setting of gorgeous plants arranged under a cool canopy overlooking Chalong Bay. It's a great place to spend an afternoon or an evening enjoy tasty dishes and drinks with friends and family, with a relaxed vibe and welcoming atmosphere."
rn346584098,"Reviewed February 10, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"The Owner,really goes that extra mile,great welcome,First class food,First class Service,Staff really very nice,Spent a few evenings here,Great location,This is one of the nicest place i have been too on my recent trip,You really can't go wrong here,pop in for a drink.or eat,you will return,Thank...More"
rn346009801,"Reviewed February 8, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"A great bar / restaurant on the water. Good food & service, the manager has been here for a while and is very helpful. Staff are friendly and good at their job. Worth a visit.More"
rn345546611,"Reviewed February 7, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"5 star food and quality wine and breathtaking location at the shoreline. all food, breakfast and fruit shakes for a reasonalbe good price. personal warm welcome from the Australian owner and his wife !!! a must spot to visit, when you like to see many...More"
rn342960685,"Reviewed January 26, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Great location on the shore at Chalong bay with views to the boats and islands.
Very friendly, welcoming and well educated staff and management, Kim and his wife always come across to welcome you if your first or 100th visit.
Excellent quality Thai & International...More"
rn339338855,"Reviewed January 12, 2016 ", Patong,Ao Chalong Yacht Club Restaurant,"Kim and his wife are very welcoming and the food is terrific!
Best panang chicken in phuket!!
David Sydney"
rn580373356,Reviewed 5 days ago , Patong,Austrian Garden Restaurant,"A few minutes walk from Patong beach, you can stop over to this hotel/restaurant to enjoy their food after a relaxing stay at the beach. Food was very good both Thai and Austrian cuisine. The Manager Mr. Robert and staffs are very friendly and accomodating....More"
rn579444175,Reviewed 1 week ago , Patong,Austrian Garden Restaurant,"Food was fantastic from the classic cheeseburgers and spaghetti bolagnase, to mussels and steak! Everything cooked perfectly. Decent size portions aswell. Definitely recommend and the staff are welcoming and very clean establishment!"
rn579444049,Reviewed 1 week ago , Patong,Austrian Garden Restaurant,Visited here 3 times while on holiday for a week and i must say it was the only place i felt like i had eaten a proper meal! Execellent service and excellent food.
rn577098534,Reviewed 2 weeks ago , Patong,Austrian Garden Restaurant,This is most likely the best restaurant in Patong and since Robert has taken over the kitchen it has gotten even better. For anybody who would like an unforgettable meal at a reasonable price this is definitely the place to go.
rn576756409,Reviewed 2 weeks ago , Patong,Austrian Garden Restaurant,the food and staff are great . Everyday you can choose a special of the day for 250 bath . Also the menu with a lot of choose and good prices . Very clean and open kitchen .
rn575305213,Reviewed 3 weeks ago , Patong,Austrian Garden Restaurant,Quick lunch had the pork schnitzel and sausages both were good. Service slow but as Thai always pleasant
rn569086541,"Reviewed March 27, 2018 ", Patong,Austrian Garden Restaurant,"Though I was staying at Austrian Garden Hotel, I had some opportunities to have dinner in the enclosed restaurant, that is offering European, especially Austrian as well as Thai food.
I had several meals and they were all perfect. Food quality is fantastic and the...More"
rn568600737,"Reviewed March 25, 2018 ", Patong,Austrian Garden Restaurant,"Went here twice in a week so obviously the food was awesome chicken schnitzels, cordon bleu, German sausage and plenty of other good stuff on the menu worth a visit if you want a change from the Thai food although there Thai food is pretty...More"
rn555335012,"Reviewed January 21, 2018 ", Patong,Austrian Garden Restaurant,"We went there with our son who loves German style foods and portions too.
We kept it pretty simple and ordered the wiener schnitzel ala art and it was great like we get in Germany friendly staff and manager is clearly running the place very...More"
rn554315847,"Reviewed January 16, 2018 ", Patong,Austrian Garden Restaurant,"We have been to the Austrian Garden twice now and will probably go another couple of times before we leave as it’s close to our hotel. The restaurant is clean, light and airy and the menu has a large selection of Thai, Austrian and other...More"
rn550386121,"Reviewed December 31, 2017 ", Patong,Austrian Garden Restaurant,"Great resto. whole family woke up late and we moved onto lunch. Found this place maybe 5 mins away from Graceland.
Food is incredibly delicious."
rn549600255,"Reviewed December 27, 2017 ", Patong,Austrian Garden Restaurant,"We ate dinner here one night and found the service, food and atmosphere excellent! The Austrian dishes are very authentic and delicious and made a good change from eating local dishes. We would certainly go back."
rn548563487,"Reviewed December 21, 2017 ", Patong,Austrian Garden Restaurant,"This place is run by Austrians for primarily Austrians and is part of a hotel. Frankly, I think Trip Advisor has also called this the Kremser'l, which is confusing, but the food is pretty much just like you would get it in Vienna."
rn546756846,"Reviewed December 11, 2017 ", Patong,Austrian Garden Restaurant,"Great visit with a family, nice atmosphere, i ordered beef bourguignon, it was very soft and tender, delicisios! But be ready to pay good bill, it is not cheap place:)"
